Title,Genre,Director,Actors,Year,Runtime (Minutes),Revenue (Millions)
Death of Me,'Horror',Darren Lynn Bousman,"'Maggie Q, Luke Hemsworth, Alex Essoe, Ingkarat Jaraswongkosol, Kelly B. Jones, Caledonia Burr'",2020,94,
The Seventh Day,'Horror',Justin P. Lange,"'Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Chris Galust, Robin Bartlett, Heath Freeman, Keith David'",2021,87,
The Wind,'Horror',Emma Tammi,"'Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Miles Anderson, Dylan McTee'",2019,88,
The Forest,"'Horror,Independent'",Jason Zada,"'Natalie Dormer, Taylor Kinney, Yukiyoshi Ozawa, Eoin Macken, Stephanie Vogt, Rina Takasaki, Noriko Sakura, Yuho Yamashita'",2016,93,
The Old Ways,"'Horror,Independent'",Christopher Alender,"'Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez'",2020,90,
The Swarm,"'Horror,Independent,International'",Just Philippot,"'Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand'",2021,102,
Dark Light,"'Horror,Independent,Sci-Fi,Fantasy'",Padraig Reynolds,"'Jessica Madsen, Opal Littleton, Ed Brody, Kristina Clifford, Ben Sullivan, Gerald Tyler, Weston Meredith'",2019,90,
A Classic Horror Story,"'Horror,International'","Roberto De Feo, Paolo Strippoli","'Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol'",2021,95,
The 8th Night,"'Horror,International,Thriller'",Kim Tae-hyung,"'Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum'",2021,116,
Winchester,"'Horror,Sci-Fi,Fantasy'","Michael Spierig, Peter Spierig","'Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson'",2018,100,
Insidious,"'Horror,Thriller'",James Wan,"'Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara'",2010,103,
The Darkness,"'Horror,Thriller'",Greg McLean,"'Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry, Matt Walsh, Jennifer Morrison, Parker Mack, Paul Reiser, Ming-Na Wen, Tara Lynne Barr'",2016,92,
The Strangers,"'Horror,Thriller'",Bryan Bertino,"'Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks, Laura Margolis, Glenn Howerton, Alex Fisher, Peter Clayton-Luce'",2008,85,
Layer Cake,"'Independent,International, Thriller'",Matthew Vaughn,"'Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan'",2004,105,
Until Midnight,"'International,Thriller'",Tariq Alkazim,"'Ahmad Khamis Ali, Chuka Ekweogwu, Heba Al Hamwi, Rik Aby, Merouane Ali, Khalid Al Suwaidi, Saeed Arjumand'",2019,77,
Domestic Disturbance,'Thriller',Harold Becker,"'John Travolta, Vince Vaughn, Teri Polo, Matt O'Leary, Ruben Santiago-Hudson, Susan Floyd, Angelica Page, Steve Buscemi, Chris Ellis'",2001,89,
Double Jeopardy,'Thriller',Bruce Beresford,"'Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine'",1999,105,
Jacob's Ladder,'Thriller',David M. Rosenthal,"'Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet, Joseph Sikora, Karla Souza, Ritchie Coster, Jon Eyez'",2019,90,
Jacob's Ladder,'Thriller',"
Adrian Lyne","'Tim Robbins, Elizabeth Pena, Danny Aiello, Matt Craven'",1990,113,
Lying and Stealing,'Thriller',Matt Aselton,"'Theo James, Emily Ratajkowski, Fred Melamed, Ebon Moss-Bachrach, Isiah Whitlock Jr., Evan Handler, Paul Jurewicz, John Gatins, Fernanda Andrade, Bob Stephenson'",2019,100,
Shutter Island,'Thriller',Martin Scorsese,"'Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas'",2010,139,
Synchronic,'Thriller',"Justin Benson, Aaron Moorhead","'Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.'",2020,102,
The Da Vinci Code,'Thriller',Ron Howard,"'Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany, Alfred Molina, Jürgen Prochnow, Jean-Yves Berteloot, Etienne Chicot, Jean-Pierre Marielle'",2006,149,
The Interpreter,'Thriller',Sydney Pollack,"'Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Michael Wright, Clyde Kusatsu, Eric Keenleyside, Hugo Speer'",2005,128,
The Vanished,'Thriller',Peter Facinelli,"'Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente'",2020,115,
Welcome Home,'Thriller',George Ratliff,"'Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba'",2018,97,
The Game,"'Thriller,Cult'",David Fincher,"'Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl'",1997,129,
